"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 17 15:47:25 CEST 2023","Tue Oct 17 15:47:25 CEST 2023","339","","pytest","","allure_pytest_test","","test_s3_file_present",""
"broken","Tue Oct 17 15:47:25 CEST 2023","Tue Oct 17 15:47:25 CEST 2023","0","","allure_pytest_test","","","","test_s3_file_present",""
